text,label
"BREAKING: You've been selected for a cash prize of $5,000. Verify your details to receive it.",1
Microsoft Account Alert: We've detected suspicious sign-in activity. Confirm your identity immediately.,1
Google Security: Your Chrome browser has been hacked. Install our security patch now.,1
"Urgent Hiring: Personal assistant needed. $2,000/week salary. Reply immediately.",1
System Scan: 25 errors found on your computer. Fix them now with our software.,1
Server migration completed. All services have been restored to normal operation.,0
Mobile deposit processed successfully. Funds will be available tomorrow morning.,0
Walmart Purchase: $899 charged to your card for electronics. Dispute if not yours.,1
Instagram Alert: Someone tried to log into your account. Secure it now by clicking here.,1
Your subscription box has shipped and includes tracking number 1Z999AA1234567890.,0
"You have received a money transfer of $5,000. Click here to accept the payment.",1
Career fair scheduled for April 10th in the student center. All majors welcome.,0
Online Tutor: Earn $75/hour teaching from home. No degree required.,1
Software update available: Version 2.1.4 includes bug fixes and security improvements.,0
Secret Shopper: Get paid $200 per assignment plus keep purchases.,1
Tax documents are now available for download from your online banking portal.,0
Your vacation request for next week has been approved by your supervisor.,0
"You have won a prize of $10,000! Claim it now at fakelink.com before it expires.",1
Account update: Your new password has been successfully changed as requested.,0
Reminder: The team meeting is scheduled for tomorrow at 2 PM in the conference room.,0
The conference call with the client went well. I'll send you the notes and next steps shortly.,0
"WINNER ALERT: You've been chosen to receive a $1,000 gift card. Claim it within 24 hours.",1
Payment confirmation: Your credit card payment of $245.67 has been received.,0
Your password for SecureBank expires in 24 hours. Update it now to avoid account closure.,1
Email server maintenance finished early. All functionality has been restored.,0
Your subscription renewal is due next month. You will receive an invoice via email shortly.,0
Twitter Security: Unusual login detected from Russia. Secure your account immediately.,1
Final exam schedule has been posted. Check your student portal for details.,0
Certificate of deposit has matured. Please contact us to discuss renewal options.,0
Your annual membership will expire on December 31st. Renewal options are available online.,0
Windows Defender: Critical security update required. Download and install immediately.,1
Your loan application has been approved. Closing is scheduled for next Friday.,0
"Mega Millions Winner: You've won $100,000! Claim your prize before it expires tomorrow.",1
Annual performance reviews will begin next month. Schedule your meeting with your manager.,0
"Lucky Winner! You've won $25,000 in our daily sweepstakes. Click here to collect your prize.",1
"Federal Grant Notification: You've been awarded $8,000. Accept the grant within 48 hours.",1
Lunch and learn session: Cybersecurity awareness training on Thursday.,0
Foreign Investment: Nigerian prince wants to share $10 million fortune with you.,1
Apple iTunes: You've been charged $89.99 for app purchases. Dispute if unauthorized.,1
Firewall update completed. Your security settings remain unchanged.,0
Automatic payment scheduled for your mortgage will process on the 15th.,0
Survey Taker: Earn $100 per survey completed. Work when you want.,1
Specialist referral approved. Dr. Smith's office will contact you to schedule.,0
CONGRATULATIONS! You've been selected for a special offer. Click here to claim your reward.,1
Your automatic backup service is working properly and last ran successfully yesterday.,0
Medicare Update: Your coverage will be cancelled unless you update your information now.,1
The server maintenance is scheduled for this weekend. Please save your work before Friday evening.,0
Service Interruption Notice: Update your account details now to avoid service suspension.,1
Delivery confirmation: Your package was successfully delivered at 2:30 PM today.,0
"IRS Tax Refund: You are eligible for a $2,500 refund. Click here to claim it today.",1
Study abroad program applications are due February 15th for summer programs.,0
New employee orientation will be held every first Monday of the month.,0
Laboratory safety training required for all science students before lab access.,0
"Annual company picnic is scheduled for Saturday, June 15th at Central Park.",0
Telehealth appointment available. Video consultation scheduled for Monday.,0
Commencement ceremony details will be mailed to graduating students next month.,0
Bitcoin Investment: Double your money in 7 days. Minimum investment $500.,1
Flu shots are now available. Schedule your appointment online or by phone.,0
"Federal Tax Lien: Your property will be seized unless you pay $5,000 today.",1
Order confirmation: Your purchase of office supplies has been processed and will ship today.,0
McAfee Warning: 12 threats detected on your device. Buy our protection software now.,1
"I've completed the code review for your pull request. Everything looks good, approved for merge.",0
Here is the meeting summary from yesterday. Please review the action items and let me know if you have questions.,0
"Stimulus Payment: You're eligible for an additional $1,400 payment. Claim it immediately.",1
Firefox Alert: Your browser has been infected. Download our security tool now.,1
"Tax Court Summons: You must appear in court unless you settle your debt of $2,800 today.",1
Employment Opportunity: Make $300/day stuffing envelopes at home.,1
Bank Notice: $750 withdrawal attempted from ATM in foreign country. Confirm if authorized.,1
Trading Opportunity: Guaranteed 500% returns on forex trading. Invest now.,1
New hire welcome packet is ready for pickup from HR.,0
Cloud service upgrade deployed. New features are now available in your dashboard.,0
Customer Service Rep: $25/hour remote work. Flexible schedule. Start today.,1
"Publisher's Clearing House: You've won our $250,000 grand prize. Claim immediately.",1
Thank you for attending our webinar yesterday. The presentation slides are attached for your reference.,0
"Your credit card has been charged $499. If this was not you, click here to dispute.",1
PayPal Payment: $299 sent to unknown recipient. Secure your account immediately.,1
Apple ID Security Alert: Your account was accessed from an unknown device. Verify now to secure it.,1
"Estate Settlement: You're beneficiary of $500,000 estate. Contact lawyer immediately.",1
Your account preferences have been updated according to your recent changes.,0
Profile updated: Your contact information has been successfully changed.,0
Tech Support: Your IP address has been compromised. Contact us within 1 hour.,1
"Treasury Department: You have unclaimed funds of $3,000. Claim them before they're forfeited.",1
Your prescription refill is ready for pickup at the pharmacy.,0
Academic advisors are available for course planning meetings this week.,0
Package delayed: Your shipment will arrive 1 day later than expected due to weather.,0
Urgent: Your email account will be deleted in 24 hours. Verify your account to prevent deletion.,1
Dropbox Alert: Your account shows signs of unauthorized access. Change password now.,1
Email Service Alert: Your mailbox is 99% full. Upgrade now or lose all your emails.,1
"Lucky Day: You've won $15,000 in our random drawing. Claim within 48 hours.",1
Security Patch: Your account needs immediate update to prevent unauthorized access.,1
Vision screening completed. No changes needed to your current prescription.,0
Installation scheduled: Our technician will arrive Thursday between 10 AM and 2 PM.,0
Billing cycle change: Your next statement will reflect the new billing date.,0
"Business Partnership: Investor wants to transfer $50,000 to your account. Respond urgently.",1
Shipping notification: Your package is on its way and will be delivered by Friday.,0
Professional development workshop: Advanced Excel training available next month.,0
Final notice: Your subscription will be cancelled unless you update your payment information now.,1
Maintenance Window: Your account will be locked unless you update credentials today.,1
"Your loyalty points balance is 2,547 points, worth approximately $25 in rewards.",0
Prescription ready: Your medication is available for pickup at the pharmacy.,0
Amazon Prime: Your membership fee of $99 could not be processed. Update your card details.,1
Your backorder item is now in stock and will ship within 24 hours.,0
"Sweepstakes Alert: You're the grand prize winner of $50,000 cash. Collect now.",1
Credit score update: Your score has improved by 12 points this month.,0
Appointment confirmed: Physical therapy session on Thursday at 2 PM.,0
Foreign transaction notice: International purchase processed without issues.,0
Our Q4 goals have been finalized. I'll share them with the team in tomorrow's meeting.,0
Urgent action required: your account has been suspended. Click here to verify your details immediately.,1
Your PayPal account has been limited. Click here to restore full access within 48 hours.,1
Netflix Billing: Your subscription will be cancelled unless you update payment info now.,1
"Wire Transfer Alert: $15,000 has been sent to your account. Confirm receipt to access funds.",1
Java Security: Your computer is vulnerable. Update Java immediately to stay protected.,1
Stock Tip: This penny stock will increase 1000% tomorrow. Buy now.,1
Order update: One item in your order is temporarily out of stock but will ship separately.,0
Backup verification successful. Your data protection is working properly.,0
Computer Virus Alert: Your PC is infected with 47 viruses. Download our cleaner immediately.,1
Subscription Alert: $49.99 charged for premium service. Cancel if you didn't authorize this.,1
Scheduled maintenance window tonight from 11 PM to 3 AM. Expect brief service interruptions.,0
Your cloud storage usage is at 75% capacity. Consider upgrading or cleaning up files.,0
System Alert: Your computer will be locked in 5 minutes unless you call this number.,1
Cloud Storage Warning: Your account will be terminated in 48 hours. Verify to keep your files.,1
Return processed: Your refund of $89.99 will appear on your statement within 3-5 business days.,0
"Tax Alert: You owe $1,200 in back taxes. Pay immediately to avoid legal action.",1
"URGENT: Your lottery ticket has won $75,000! Click here before the deadline expires.",1
"NFT Collection: Exclusive drop worth $10,000. Buy now before prices skyrocket.",1
Payment received: Thank you for your payment of $149.99. Your account is current.,0
Library notification: Your reserved book is now available for pickup.,0
Account Maintenance: Your online banking password will expire in 6 hours. Renew it immediately.,1
LinkedIn Warning: Your profile has been flagged for suspicious activity. Verify to restore access.,1
Account alert: Low balance notification. Current balance is below your set threshold.,0
Contest Winner: Your entry has won a Tesla Model 3. Click here to arrange delivery.,1
Your custom order has been completed and is ready for delivery.,0
Your Amazon account has been compromised. Update your password now to prevent unauthorized access.,1
Can we schedule a call for next week to discuss the upcoming project requirements?,0
Password Expiry Notice: Your account password expires today. Update it now to maintain access.,1
Your order has been received and is being prepared for shipment.,0
Network upgrade scheduled for next weekend. Internet service may be intermittent.,0
"Government Grant: You qualify for a $5,000 federal grant. Apply now before funds run out.",1
Your order #12345 has shipped and will arrive within 3-5 business days. Thank you for your purchase.,0
Please find the updated project timeline attached. Let me know if you need any clarifications.,0
Your dental cleaning is scheduled for next month. We'll send a reminder closer to the date.,0
The training session for new employees is scheduled for next Tuesday. Please confirm your attendance.,0
IRS Criminal Investigation: You're under investigation for tax fraud. Call immediately.,1
Open enrollment for health benefits starts Monday and ends on the 30th.,0
IRS Audit Notice: Your tax return has been flagged. Respond within 72 hours to avoid penalties.,1
System Migration: Update your account info or lose access permanently.,1
Statement ready: Your credit card statement for November is now available for download.,0
Critical Alert: Your account expires at midnight. Renew now to avoid data loss.,1
The quarterly financial report is attached. Please review and provide your feedback by Friday.,0
"Prize Alert: You've won a luxury vacation package worth $10,000. Claim it here immediately.",1
Load balancing optimization completed. Service reliability has been improved.,0
Tuition payment deadline is approaching. Please submit payment by the due date.,0
Norton Antivirus: Auto-renewal of $159.99 processed. Cancel within 24 hours if unwanted.,1
Account Verification Needed: Your profile will be deleted unless verified within 24 hours.,1
Scholarship application deadline is March 1st. All materials must be submitted online.,0
"Payment Notification: You have received $3,500. Click here to transfer to your bank account.",1
Norton Alert: Your computer is at risk. Purchase our antivirus software immediately.,1
Employee handbook updates are now available on the HR portal.,0
Account Cleanup: Inactive accounts will be deleted. Verify yours to keep it active.,1
Your grocery delivery is confirmed for tomorrow between 2-4 PM.,0
"Monthly statement summary: Account balance as of statement date is $2,847.33.",0
Bank Alert: Unusual activity detected. Click here to secure your account immediately.,1
"Congratulations! You've been hired for a $5,000/week work-from-home job. Start immediately.",1
"Refund Processing: Your $2,000 refund is ready. Provide account details to receive payment.",1
The client feedback on our proposal was positive. They want to move forward with phase 2.,0
Blood work completed. Results show all values within normal ranges.,0
Mandatory safety training is scheduled for all staff on Wednesday at 10 AM.,0
Annual physical exam results show excellent health. Keep up the good work.,0
"International Payment: You've received $12,000 from overseas. Verify to complete the transfer.",1
Two-factor authentication has been enabled on your account for added security.,0
Microsoft Office: Your subscription has expired. Renew now for $79 or lose access.,1
System Update Required: Your account needs verification within 12 hours or it will be suspended.,1
Gmail Security Notice: Your account will be deactivated unless you verify your credentials now.,1
Security patch applied to all systems. No action required on your part.,0
Data Entry Position: Work from home earning $150/hour. No experience required.,1
Microsoft Support: Your Windows license has expired. Renew now or lose access to your files.,1
"Credit Card Alert: Unusual charge of $1,299 detected. Verify this transaction now.",1
Immunization records have been updated in your patient portal.,0
Medication reminder: Time to refill your monthly prescription.,0
Gas Station Charge: $300 fuel purchase in different state. Verify if this was you.,1
Facebook Security Team: Your account has been temporarily locked. Click here to restore access.,1
Spotify Security: Someone is using your account in another country. Secure it immediately.,1
"Trust Fund: Mysterious benefactor left you $100,000. Contact us to receive funds.",1
Campus housing applications for next year open on March 1st.,0
The training materials for next week's workshop are now available on the shared drive.,0
"You have won the lottery! Claim your $50,000 prize at winner-lottery.fake-site.com",1
System update completed successfully. All services are now fully operational.,0
Government Audit: Your assets will be frozen unless you respond within 6 hours.,1
Investment portfolio summary: Your account gained 3.2% this quarter.,0
I've scheduled a review meeting for the project deliverables next Thursday at 3 PM.,0
Course enrollment is now open for the spring semester. Register by January 15th.,0
Your MRI scan is scheduled for Friday at 9 AM. Please arrive 30 minutes early.,0
Social Security Administration: Your benefits will be suspended unless you verify your SSN.,1
